Actual class,pedestrian-back-vs-front,pedestrian-back-vs-left,pedestrian-back-vs-right,pedestrian-front-vs-left,pedestrian-front-vs-right,pedestrian-left-vs-right,class-pedestrian-back-count,class-pedestrian-front-count,class-pedestrian-left-count,class-pedestrian-right-count,winner
pedestrian-front-420.jpg,0.0780692807355,-0.343524198012,-0.84586845684,-0.246396015621,0.599464615507,-0.108190710139,1,1,2,2,pedestrian-left
pedestrian-left-438.jpg,-0.0928666824209,-0.00186424535772,0.0992715389891,-0.320604793354,0.433818994396,0.089762695428,1,2,3,0,pedestrian-front
pedestrian-right-417.jpg,0.0287223848494,0.244320736341,-0.105100358042,0.135047347321,-0.293681431818,0.201590660734,2,1,1,2,pedestrian-back
pedestrian-front-428.jpg,-0.233400307752,0.148357613127,0.343035342422,0.250408819519,-0.210887894967,-0.00649305701085,2,2,0,2,pedestrian-back
pedestrian-front-423.jpg,-0.00913816817345,0.126311868647,-0.127964941521,0.18340613466,0.292594205269,-0.0238388031008,1,3,0,2,pedestrian-front
pedestrian-right-414.jpg,-0.213775435837,0.175680096272,0.139616596471,0.14113773378,-0.303127714192,0.0948880841643,2,2,1,1,pedestrian-back
pedestrian-left-437.jpg,0.0273493306712,-0.204358291379,-0.538681242493,-0.176072607471,0.21330493369,-0.196835164428,1,1,2,2,pedestrian-left
pedestrian-left-412.jpg,0.02752911479,-0.111526987703,0.102320990772,-0.247170266807,0.115884636978,-0.173689665499,2,1,2,1,pedestrian-back
pedestrian-left-428.jpg,-0.160968558831,0.230945305677,-0.175053225687,0.285004198644,0.0163447220054,0.120150130524,1,3,1,1,pedestrian-front
pedestrian-right-425.jpg,0.0183863432635,0.143301440133,0.374498313112,0.232289513365,-0.279244597137,0.0397639698724,3,1,1,1,pedestrian-back
pedestrian-back-407.jpg,0.22193991873,-0.233211434312,-0.203562158917,0.113676937982,0.382665469722,-0.169039694874,1,2,1,2,pedestrian-front
pedestrian-right-438.jpg,0.259462783762,-0.0952111332209,-0.587417420614,0.513474586863,-0.0931099379642,-0.247647178009,1,1,1,3,pedestrian-right
pedestrian-back-402.jpg,0.129468277149,-0.205095263786,-0.895745054153,0.01240106645,0.407525083546,-0.0733453198653,1,2,1,2,pedestrian-front
pedestrian-left-421.jpg,-0.0642246300752,-0.156186056953,0.119749830462,-0.208770939983,-0.0663609991948,0.0306663528925,1,1,3,1,pedestrian-left
pedestrian-left-415.jpg,0.122750041335,-0.123957649026,0.34511750618,-0.225789119744,0.357590445006,0.05442849022,2,1,3,0,pedestrian-left
pedestrian-right-437.jpg,-0.0348729916447,-0.0834309196383,-0.024585218269,-0.0277910171153,-0.260024253903,0.0645718263609,0,1,3,2,pedestrian-front
pedestrian-left-411.jpg,-0.00899884816535,0.152345904722,0.329637158384,0.256430458844,-0.225312861735,-0.0198809800387,2,2,0,2,pedestrian-back
pedestrian-back-445.jpg,0.00465916170755,0.158073456461,0.361592641178,0.49121214172,-0.354721752931,-0.0248880016351,3,1,0,2,pedestrian-back
pedestrian-front-438.jpg,0.0780460559883,0.304910391683,0.323305635097,0.353805176411,0.175761619418,0.367845772348,3,2,1,0,pedestrian-back
pedestrian-left-431.jpg,0.170837262622,-0.0900113490899,0.343354522977,0.106651503036,-0.385409461693,0.0834010637262,2,1,2,1,pedestrian-back
pedestrian-front-418.jpg,0.0421554056336,-0.266586173592,-0.139514403241,-0.000218381640167,0.409084409616,-0.0587809905789,1,1,2,2,pedestrian-left
pedestrian-left-424.jpg,-0.0373701672666,-0.0513758246189,-0.0926653692209,0.0081209168171,-0.236352959379,-0.303455454573,0,2,1,3,pedestrian-front
pedestrian-front-408.jpg,-0.10249930675,-0.168962610587,-0.354792781239,-0.537658413627,0.916972810667,-0.153698678902,0,2,2,2,pedestrian-front
pedestrian-right-431.jpg,-0.0556979192598,0.0793168753179,0.290284043397,0.0286843905478,-0.216741479411,0.153637312835,2,2,1,1,pedestrian-back
pedestrian-back-424.jpg,-0.0519022655237,0.0985700462331,-0.285383678604,-0.143673748307,-0.195220466978,0.092035298386,1,1,2,2,pedestrian-left
pedestrian-back-442.jpg,0.21978947993,0.105533703241,0.308800056033,0.462806314092,0.147484752068,-0.257001750254,3,2,0,1,pedestrian-back
pedestrian-back-444.jpg,-0.0899522318989,0.0113329749721,-0.696566546754,0.0839538918635,0.0971466081198,-0.15699811576,1,3,0,2,pedestrian-front
pedestrian-right-411.jpg,-0.132577550958,0.219882125764,0.326766714774,0.102284628816,-0.562696072089,-0.00808674519001,2,2,0,2,pedestrian-back
pedestrian-front-440.jpg,0.0805212669811,-0.0521019410813,-0.0572303040792,-0.0233787893056,-0.224606466277,0.164047624503,1,0,3,2,pedestrian-left
pedestrian-left-416.jpg,0.0526781520505,-0.154896883831,0.254317044855,-0.0906495714761,-0.34598992073,-0.0924187414027,2,0,2,2,pedestrian-back
pedestrian-left-401.jpg,-0.00832423401509,-0.075146819574,0.315713985442,0.184706088611,-0.0137737588274,-0.0314256370532,1,2,1,2,pedestrian-front
pedestrian-right-445.jpg,-0.0334007400728,-0.162910942778,0.0492025189825,0.264409367569,-0.164255856094,0.0964574658718,1,2,2,1,pedestrian-front
pedestrian-front-413.jpg,0.23008146984,-0.214877150395,-0.403282788194,-0.368501769696,0.728164650103,-0.427805536155,1,1,2,2,pedestrian-left
pedestrian-back-403.jpg,-0.0196452114971,-0.168267567749,-0.0976471490286,0.127984399894,0.509204217019,0.0954824647714,0,3,2,1,pedestrian-front
pedestrian-right-412.jpg,-0.125359336886,0.244024452274,0.347895283025,-0.0619977300028,-0.42793732167,0.0830903112645,2,1,2,1,pedestrian-back
